,bairro,cep,cidade,descricao,estado,preco,tilulo,tipo
2025,Lagoa Seca,59032-220,Natal,PretoEm bom estado de conservação Na caixa com todos os acessórios originais +pulseiras Venda ou troca no séries 3 38mm ou 42mmValor negociável ,Usado,1000,APPLE WATCH SÉRIES 2 42mm ,Iphone
2026,Capim Macio,59082-060,Natal,Tá com trico mais não interferir em nada ,Usado,650,Vendo ou troco ,Iphone
2027,Cidade Alta,59025-020,Natal,vendo ou troco j8 aparelho zero sem marcas de usoacompanha carregador Whatsapp 988721222... ver número aceitocartão ,Usado,799,J8 64gigas ,Samsung
2028,Bom Pastor,59060-160,Natal,"vendo iPhone 6 16GB pra pessoas exigentes supernovo, não está funcionando a biometria, masfunciona o botão home, o resto funciona tudo, sovendo não troco! Whatsapp 996034927... ver número",Usado,700,Vendo iPhone 6 Gold 16GB. super novo 700 reais ,Iphone
2029,Cidade Alta,59025-020,Natal,vendo ou troco j6 Plus aparelho top sem marcas deuso Whatsapp 988721222... ver número aceito cartão só acompanhacarregador ,Usado,670,J6 Plus ,Samsung
2030,Nova Descoberta,59075-240,Natal,produto novo entrego no Midway a noite ,Novo,85,Carregador portátil pineng ,Acessórios
2032,Felipe Camarão,59074-027,Natal,vendo S3 mini para aproveitar a placa contato no whats 98859-3363... ver númeroobs: placa funcionando direitinho. da pra ajeitar só trocar a tela ,Usado,80,Placa S3 mini ,Samsung
2033,Cidade Nova,59073-044,Natal,"Smartwatch Colmi M28 Sport3 Ip68 PressãoFrequência Cardíaca. Whatsapp 988167534... ver númeroMarca: ColMiPrincipais idiomas do smartwatch: Português einglês.Bateria integrada;Estilo: Social e esporte, dependendo da pulseira.Tamanho da tela: 1.3 inchTamanho da caixa: 3,30 centímetros de largura por4,20 centímetros de altura.Forma de tela: QuadradoGrau à prova de água: IP68 (piscina, banho, chuvaentre outros).OBS: não molhar com água quente.Material da pulseira: Gel de SílicaVários Mostradores: SimPersonalização dos mostradores: SimCapacidade de Bateria: 220-300 mAh - Com duraçãomédia de 4 a 7 dias, dependendo do uso.Verificação de oxigênio no sangue;Medidor de pressão arterial;Resistência a água: IP68 Waterproof ? IP68possibilita tomar banho e molhar o smartwatch;Vibração nativa do smartwatch quando recebenotificações, precisa estar pareado via app Da fitcom smartwatch;Funções esportivas encontrada no menu esporte dosmartwatch: Corrida, Bicicleta, Basketball,Swimming Badminto, Natação;Pacote Inclui:1 * smartwatch Preto1 * cabo de carregamento1 * manual de instruções ",Novo,180,Smartwatch Colmi M28 A Prova D'água IP68 ,Acessórios
2034,Nossa Senhora da Apresentação,59114-168,Natal,vende-se um j5 metal semi novo com trincos maisNÃO interfere em nada bateria nova e vai comcarregador já é o menor preço meu zap 988226164... ver número,Usado,320,J5 metal ,Samsung
2035,Igapó,59104-300,Natal,"iPHONE 7 32GB DOURADO ACEITO CARTÃO(com acréscimo da maquineta)Semi-Novo, iPhone 7 32GB Dourado em excelenteestado de conservação sem nenhuma marca de usofuncionando tudo.Acompanha Caixa, Carregador, Fone de ouvido,Película De vidro e uma capa Anti-impacto.Mais informações WhatsApp 99815-2518... ver número",Usado,1750,IPhone 7 32GB Dourado. ACEITO CARTÃO ,Iphone
2036,Cidade Alta,59025-020,Natal,vendo ou troco k10 2017 aparelho bem conservadosem marcas de uso aceito cartão Whatsapp 988721222... ver número,Usado,399,K10 2017 32gigas ,LG
2037,Tirol,59020-090,Natal,Galaxy J7 Prime 32 em ótimo estado funcionandotudo .Acompanha carregador .Meu Whatsapp 9185-5724 ,Novo,480,Galaxy J7 32G ,Samsung
2038,Cidade Alta,59025-020,Natal,vendo ou troco J5 metal aparelho sem marcas de usoacompanha carregador aceito cartão esse valordividido até em 3 sem juros whatsApp 988721222... ver número,Usado,330,J5 metal ,Samsung
2039,Tirol,59020-090,Natal,J6 PLUS 32G Em estado de zero vai com carregador efone .Meu Whatsaap 991855724... ver número,Novo,580,J6 plus 32g ,Samsung
2040,Tirol,59020-090,Natal,"Galaxy S7 EDGE Em ótimo estado pegando tudoperfeitamente aceito trocas ou vendo , depreferência iPhone 6s faço um no outro .aceito cartãoWhatsaap 991855724... ver número",Novo,770,Galaxy S7 EDGE 32G ,Samsung
2041,Tirol,59020-100,Natal,IPhone 6s Rose 32gb - Obs: esses detalhas são dapelícula 3D ,Usado,1350,Celular ,Iphone
2042,Nossa Senhora da Apresentação,59114-204,Natal,Iphone 5 sem marcar de uso tudo funcionando 16giga (84)99807-7350... ver número,Usado,500,Iphone ,Iphone
2043,Planalto,59073-101,Natal,"Troco um J2 prime, com Flash frontal semi novo,apenas um trinco fio de cabelo, mas não interfereem nada. Já com película 16gb memória 1.5 GB ram Não faço entrega Whats: 98635-5950... ver número",Usado,300,Troco J2 prime semi novo ,Samsung
2044,Bom Pastor,59060-170,Natal,"vendo ou troco em iphone 5s ou 6 , analiso trocasem outros aparelhos acompanha fone , carregador e chave do chip valor negociável ",Usado,500,J5 prime ,Samsung
2045,Capim Macio,59078-320,Natal,"Telefone Sem Fio Gigaset AC700 Dect 6.0 comIdentificador de Chamadas, display iluminado,bateria com duração de até 120 horas em standby,bateria com duração de até 7 horas em conversação,10 melodias de toque, data e Hora no display, menuem 3 idiomas, bloqueio do teclado, rediscagem eagenda para até 50 entradas, tecla de busca(Paging).NUNCA USADO. ",Novo,70,Telefone sem fio Gigaset c/ identificador de chamadas ,Telefones e aparelhos de fax
2046,Cidade da Esperança,59071-355,Natal,Iphone XR 6 meses de uso ,Usado,3300,Iphone XR ,Iphone
2047,Capim Macio,59078-320,Natal,"Telefone sem fio, marca Intelbras, comidentificação de chamadas, agenda para 70nomes/números, capacidade para até 7 ramais e ummenu fácil de navegação. NUNCA USADO! ",Novo,70,Telefone sem fio INTELBRAS c/ identificador de chamadas ,Outras marcas
2048,Planalto,59073-200,Natal,"Memória RAM4 GB Armazenamento Interno 64 GBCÂMERATraseira12 MP Frontal5 MP BATERIA Bateria3000TELATipo de Tela Super AMOLED com 16 milhões de coresTamanho de Tela 5,5 polegadas ACEITAMOS CARTÕES ATE 12X( COM ACRÉSCIMO) O APARELHO ACOMPANHAR CARREGADOR TURBO + CAPINHA preço a negociar ",Usado,930,Moto z 2 play melhor preço ,Motorola e Lenovo
2049,Pajuçara,59133-624,Natal,iPhone 6s 32 Gb - acompanha cabo original - caixa- unico dono / biometria sem funcionar / tela semtrincos ,Usado,1100,IPHONE 6s 32 gb ,Iphone
2050,Igapó,59104-240,Natal,"Celular Motorola moto G 5 em estado de novo,funcionando tudo, bateria duradora e impressãodigital funcionando primeira, 16 giga de memóriainterna.Alguém interessado falar comigo no whats.98866-4104... ver número",Usado,400,Motorola moto G 5 semi novo ! ,Motorola e Lenovo
2051,Pajuçara,59132-060,Natal,"celular Asus live A007 semi novoGB 32 , contém capa e película com documento e na garantiaainda ",Usado,400,Modelo Asus live A007 ,Asus
2052,Planalto,59073-240,Natal,"Fone de ouvido ideal para prática de esportes,corridas, academia, caminhadas. O B930BL possuiuma aparência externa de metal alumínio anodizado.Este fone possui drivers com sensibilidade de 90dBe atinge frequências até 20Khz com um tom musicalbrilhante e graves definidos.WhatsApp ou Oi 988167534... ver número- Fone do tipo **-auricular para bom isolamento desom externoEspecificações técnicas - Alto-falante dinâmico: 8mm- Resposta de frequência: 20 Hz a 20 kHz- Impedância: 16ohm ~15%- Autonomia de bateria: até 6 horas- Versão Bluetooth: 4.2- Tempo de carga: 1,5 hr- Nível de proteção: IPX4 WaterproofConteúdo da caixa- 1x par de fone de ouvido B930BL- 1x Cabo de carregamento- 2x Pares de ponteiras extra (tamanhosdiferentes)- 1x gancho para prender na roupa ",Novo,100,Fone Bluetooth Original Awei B930BL ,Acessórios
2054,Planalto,59073-130,Natal,celular moto E4 play ,Usado,250,Vendo ,Motorola e Lenovo
2055,Planalto,59073-110,Natal,so vendo ,Usado,150,Vendo placa do j5 ,Samsung
2056,Dix Sept Rosado,59052-060,Natal,"k11, documento tbm e 13 dias de uso ",Novo,550,Vendo celular k11 ,LG
2057,Dix Sept Rosado,59052-060,Natal,"k11, 13 dias de uso com documento de celular tbm ",Novo,700,Celular ,LG
2058,Pajuçara,59131-830,Natal,único donovai somente com carregadorsem arranhão e sem trincoaceito cartão ,Usado,750,A5 2017 ,Samsung
2059,Guarapes,59074-721,Natal,"Super nova apenas três meses de uso com menos de300 partidas jogadas, com tacos bolas novas,motivo da venda comecei um bar mais não deu certoe estou vendendo.Apenas 1700$ comprei por 2.200 reais na casa comdocumentos e notas fiscal ",Novo,1700,Sinuca com 3 meses de uso ,Outras marcas
2060,Dix Sept Rosado,59052-061,Natal,"vendo o celular k9, por 700 reias, 13 dias de usoe tem carregador fio e cabo, e tenho o comprovanteda loja ",Novo,700,Venda de celular ,Outras marcas
2061,Lagoa Azul,59129-470,Natal,Z2 play 64 gb PlatinumAparelho excelente Acompanha carregador caixa e nota fiscal.Só venda!! ,Usado,1000,Z2 play 64gb Platinum ,Motorola e Lenovo
2062,Pajuçara,59132-360,Natal,"Vendo ou trocoIPhone 6 - 16gb- Leitor biométrico - Carregador- 2 CapinhasOba; Tela trincada, mas tudo funcionaperfeitamente. Troco por celular inferior mais volta.Aceito cartão; 1.000 em até 10x. ",Usado,900,IPhone 6 ,Iphone
2063,Nordeste,59044-484,Natal,Ele está trincado Mas funciona normalmente 16gbBateria muito boa ,Usado,300,J7 METAL - trincado ,Samsung
2064,Lagoa Azul,59129-800,Natal,vendo moto g 4 play sem defeitos aparelho extra ebem conservado ,Usado,350,Moto g 4 play extra ,Motorola e Lenovo
2065,Cidade da Esperança,59070-080,Natal,vendo j5 precisa desbloquear a conta do email e socarrega no caregador universal e tela trincadamais informações chama no zap 999890432... ver número,Usado,100,J5 RS 100 ,Samsung
2066,Lagoa Nova,59054-840,Natal,Mi band 3 lacrada!miband 3 ,Novo,160,Xiaomi Mi Band 3 - Lacradas!!!! ,Acessórios
2067,Nordeste,59045-256,Natal,novo ,Novo,700,Equipamento de aço inox ,Samsung
2068,Pitimbu,59068-350,Natal,"IPhone 7 Plus 32g bem conservado já vai com a capapelícula e carregado, aceito proposta só vendapara maiores detalhes liga no 98844-4533... ver número OI99806-0712... ver número Tim ",Usado,2500,IPhone 7 Plus 32g ,Iphone
2069,Neópolis,59086-570,Natal,obs leia o anúncioprimeira linhaiPhones vários modelos XS e 8plus 128 gigas ,Novo,600,IPhones ,Iphone
2070,Candelária,59064-500,Natal,"Funcionando perfeitamente. Nunca foi aberto nemnenhuma peça foi trocada, portanto, tudo original.Apenas esse cantinho trincado e bateria com 75% decapacidade ",Usado,1300,Iphone 6s de 64Gb ,Iphone
2071,Capim Macio,59082-160,Natal,"Galaxy S7 EDGE Em ótimo estado pegando tudoperfeitamente aceito trocas ou vendo , depreferência iPhone 6s faço um no outro .aceito cartão ",Novo,770,Galaxy S7 EDGE ,Samsung
2072,Igapó,59104-260,Natal,vendo só a caixa só iPhone 6 ,Usado,25,Caixa de iphone 6 ,Iphone
2073,Potengi,59120-100,Natal,IPhone 6 novo biometria tudo ok troco também 1000 ,Usado,900,Vendo iPhone 6 tudo funcionando perfeitamente biometria ok 16 g ,Iphone
2074,Capim Macio,59082-410,Natal,"Vendo Celular Galaxy On7 - Troco por Smart Watchou algo de interesse.Tela Touchscreen de 5.5 polegadas com umaresolução de 1280x720 pixel. Conectividade Wi-fi e GPS. A transferência dedados e navegação web sao fornecidas pela redeUMTS, mas não suporta tecnologias mais recentes,tais como HSDPA. Memória interna de 16 GB com a possibilidade deexpansão. Câmera de 13 megapixels que permite ao SamsungGalaxy On 7 tirar fotos fantásticas com umaresolução de 4128x3096 pixels e gravar vídeos emalta definição (Full HD) com uma resolução de1920x1080 pixels. Muito fino, 8.2 milímetros, o que torna o SamsungGalaxy On 7 realmente interessante ",Usado,400,Vendo Celular Galaxy On7 ,Samsung
2075,Tirol,59015-002,Natal,"Tablet Samsung com reconhecimento facial e tambémbiométria máxima sensibilidade ao toque tudofuncionando perfeitamente sem nenhuma avaria(semnenhum arranhão) estilo aparência ""IPad"" comexpansão de armazenamento até 120GB comprocessador Quad core com entrada Duos chip parafazer ligações telefônicas com lindo design telade 10.5""(Polegadas) tecnologia Samsung Galaxy TabA+ *OBS: Somente R$450,00 Interessados entrar em contato via Whatsapp:(84)9.9683-8982... ver número",Novo,450,"Samsung Galaxy Tab A+ tela de 10.5"" ",Samsung
2076,Alecrim,59037-460,Natal,aparelho possuí trinco o toque atingiu um poucomas se usar o sistema de rotação de tela funcionanormalmente é tem umas listras no display 16 GB 2chips mesmo estando assim uso normal com o sistemade rotação de tela ,Usado,150,Lg Stylus 16 gb 150 ,LG
2077,Planalto,59073-230,Natal,"Relógio Inteligente SmartWatch B57Produto novo, zero, sem uso!!!Fazemos entrega!!!, com acréscimo da taxa.Valor: 160,00 avista.ACEITO CARTÃO COM ACRÉSCIMO DA MAQUINETA,CONSULTE!!!Modelo: B57Cor: Preto.Bluetooth versão: BT 4.0 ou superiorSO compatível: Android 4.4 ou superior, iOS 9.0 ousuperiorModo operacional: Tela sensível ao toque, Nome doaplicativo: Hero Band IIIIdioma do aplicativo: Inglês, Português, Espanhol,Simplificado.Características especiais*À prova d'água: IP67*Coração Monitor de frequência,*Monitor de pressão sanguínea,*Monitor de Oxigênio no Sangue,*Monitor de sono,*Modos multiesportivos: Andar, Correr, Nadar,Saltar, Badminton, Basquetebol e Futebol.*Pedômetro*Lembrete*Rejeitar chamada*Notificação: Suporte Facebook, Twitter, Wechat,WhatsApp, Skype, Instagram.*Alerta Tipo: vibração*Tela de iluminação automática: suporteCronômetro/Outras funções*Suporte de alarme, calendário, lembretesedentário, controle remoto da câmera,anti-perdido, controle de músicas do smartphone,lembrete do tempo.Parâmetros técnicosSensor de aceleração Triaxial, Coração RateTelaTamanho: 1.3 polegadaTipo: IPS Resolução: 240 * 240 pixelsBateria Capacidade: 180mAh, tempo de duraçãodepende do seu uso.Tempo de carregamento: cerca de 1:30 horasTipo de carregamento: carregamento magnético APENAS VENDO, NÃO TROCO EM NADA.Aparência e DetalhesPulseira Material: TPUPeso do produto: 25.7gDISPONÍVEL COM PULSEIRA PRETA!!!Itens na embalagem1 * relógio inteligente B571* Pulseira1 * cabo de carregamento1 * Manual do Usuário (Versão em Inglês)WhatsApp: 84 99608-5431... ver número",Novo,160,"SmartWatch Hero Band III B57, produto novo!!! ",Acessórios
2078,Lagoa Nova,59056-450,Natal,"ORDER ONLINE BR ®WHATSAPP PARA CONTATO: (84) 98832-7744... ver númeroTRABALHAMOS COM DIVERSOS PRODUTOSCLIQUE EM ""VER TODOS ANÚNCIOS"" ACIMA >>>- Modelo universal para utilização em aparelhoscelulares.- Compatível com jogos de tiro que permitam oajuste dos controles.- Os controles do jogo devem ser ajustados para seadequar ao posicionamento dos gatilhos.- Ideal para jogos de tiro no celular como: FreeFire, Fortnite, PUGB, entre outros.Por apenas R$ 25,00 à vista ou R$ 28,00 em até 3x.Atendemos com horário marcado via Whatsapp (84)98832-7744... ver número Aceitamos cartões de crédito/débito e enviamospara todo Brasil ",Novo,25,Adaptador Gatilho L1 e R1 para Celular Melhor Modelo ,Acessórios
2079,Lagoa Nova,59056-280,Natal,Vendo IPhone 7 32gb dourado em perfeito estado deuso. Sem arranhões* todos os acessórios de fábrica ,Usado,1780,IPhone 7 32gb dourado ,Iphone
2080,Tirol,59014-570,Natal,Apple Watch.Acompanha a pulseira original e cx.Apenas venda. Para informações: chama no chat ,Usado,900,Apple Watch ,Acessórios
2081,Lagoa Seca,59022-300,Natal,"celular bem conservado, biometria ok, tudo ok! Pravender logoo ",Usado,500,"IPhone 5s com carregador e fone, pra vender logo ",Iphone
2082,Tirol,59020-100,Natal,vendo j7 prime com tela trincada. Tudo funcionandocorretamente!!! ,Usado,250,J7 prime com frente trincada ,Samsung
2083,Lagoa Nova,59076-260,Natal,"Iphone 7 128gb em perfeito estado.Acompanha cabo e carregador.Sem detalhes na tela, sempre usado com capinha.Aceito cartões ",Usado,1750,IPhone 7 128gb - Novíssimo ,Iphone
2084,Redinha,59122-060,Natal,"j7 prime funcionando perfeitamente, 32 gigas dememória interna biométrica sem trincos e semarranhões, já é o menor preço ",Usado,550,Vendo ,Samsung
2085,Lagoa Nova,59075-200,Natal,vendo um j4 de 16gigas zero na caixa com 6 dias deuzo com carregado fone de ouvido caixa compelicula de vidro e capinha qualque coisa so chamano zap 99937 0483... ver número,Novo,430,Celular ,Samsung
2086,Redinha,59122-105,Natal,"Celular completo, com menos de 1 mês de uso. Motivo da venda: Precisando de dinheiro ",Usado,480,Celular Redmi 32Gb ,Outras marcas
2087,Capim Macio,59078-320,Natal,Película de Vidro- Capinha original- Pouco uso ,Usado,1200,Iphone 6s 16gb - Muito Conservado ,Iphone
2088,Felipe Camarão,59072-390,Natal,"Moto g5S funcionando, com sensor digital perfeito,fresh perfeito com película de vidro, todavia nãoacompanha acessórios, porém, tenho duas capinhasuma masculina e outra feminina que dou de brinde. Obs.:algumas marcas de uso, devido a passar muitotempo com a capinha.whatts: 988155491... ver número",Usado,420,Moto g5S ,Motorola e Lenovo
2089,Candelária,59064-640,Natal,"Iphone 7 128gb Rose, em bom estado, funcionandoperfeitamente, acompanha todos acessórios, comgarantia de 90 dias.WHATSAPP: (84) 9981654... ver número09 para contato e melhoratendimento! (Aceitamos ligações)R$1.850,00 à vista, aceito cartão! ",Usado,1850,Iphone 7 128 ,Iphone
2090,Lagoa Nova,59056-140,Natal,Vendo iPhone 6 32gb com problema na placa. Ótimopara quem quer vender as peças ,Usado,250,IPhone 6 ,Iphone
2091,Potengi,59112-040,Natal,"OBS:NÃO ACEITO TROCAS APENAS VENDO.COR:PRETOVALOR:R$:3.900,00NO CARTÃO: 5X 819,00 OU 10X 429,00WHATSAPP:9 9703-9553... ver númeroNFC SimConexões Wi-Fi,3G,4GPeso liq. aproximado do produto (Kg) 179gBanda B1(2100), B2(1900), B3(1800), B5(850),B8(900)Tipo de Tela AMOLEDTipo de Chip Nano ChipMemória Ram 8GBReferência do Modelo Galaxy S10+Filmadora Full HDCor PretoSistema Operacional AndroidOutros Recursos nullRecursos de chamada Viva VozMultichip Dual ChipFabricante SamsungVersão S.O. Android 9.0Memória Interna 128GBExpansivo até? MicroSD até 400GBCâmera Frontal 10MPDimensões do produto - cm (AxLxP) 15,7x7,4x0,7cmCâmera Traseira 12MPProcessador Octa-CoreTamanho do Display 6.4""Sintonizador de TV Não possuiConteúdo da Embalagem Aparelho celular, capaprotetora, carregador, cabo USB, conector de USB,fone de ouvido, Extrator de Chip e manual dousuárioGarantia do Fornecedor 12 MesesResolução 3040 x 1440 (Quad HD+)Modelo SM-G975F/1DLAlimentação, tipo de bateria Bateria de Ions deLítio de 4100 mAh ",Novo,3900,Smartphone Samsung Galaxy S10+ Novo-Lacrado-1 Ano de garantia ,Samsung
2093,Neópolis,59080-460,Natal,Vendo celular funcionando perfeitamente sem marcasde uso. Apenas 5 meses de uso. Aceito todos os cartões com acréscimos de juros. Whats:994998736... ver número,Usado,500,Vendo J5 Prime ,Samsung
2094,Capim Macio,59082-410,Natal,"Vendo Celular Iphone 5sSemi novo, porém todas as funcionalidades normaisde uso. ",Usado,500,Vendo Celular Iphone 5s ,Iphone
2095,Potengi,59127-170,Natal,vendo moto G6 pluscom nota fiscalcarregadorfone de ouvidoantena de TV digital3 capaspelícula de vidrovalor 750.00WhatsApp 84 9991377... ver número37aceito cartão com acréscimo ,Usado,750,Vendo moto G6 plus com nota fiscal 64gigas ,Motorola e Lenovo
2096,Pajuçara,59132-696,Natal,IPHONE SE 32GB com nota fiscal todos os acessóriosaparelho todo original única dona aparelho de procedência garantia de 60 dias somente vendo. whats 996817665... ver número,Novo,899,IPHONE SE 32GB com nota fiscal ,Iphone
2097,Dix Sept Rosado,59052-360,Natal,"Pelicula e capinha, câmeras ok, bateria ok, tudofuncionando direitinho. 996708732... ver número Ótimo Preço em comparação a outros granprime aqui da olx ",Usado,160,Gran prime Ótimo preço ,Outras marcas
2098,Pajuçara,59133-341,Natal,"celular bem conservado, k10 Dourado, acompanhafone de ouvido e carregador, ",Usado,300,K1 novo ,LG
2099,Nossa Senhora da Apresentação,59114-610,Natal,"Vendo iPhone 5c cor branco, sem defeitos, apenasarranhões de uso. Única dona ",Usado,450,IPhone 5c branco ,Iphone
2100,Lagoa Nova,59054-680,Natal,"Vendo lindo iPhone 6S 16gb em estado de zero. Muito bem conservado. Apenas R$ 1.200,00 aceito todos os cartões ddecredito. 84 9. 9694 6080... ver número",Usado,1200,IPhone 6 s NOVO ,Iphone
2101,Pajuçara,59131-410,Natal,"1 mês d uso, com nota ",Usado,1000,Cel j8 ,Samsung
2102,Cidade Nova,59072-620,Natal,"Acompanha caixa, dois carregador, 5 capas, iCloudlivre, biometria funcionando. N aceito trocas ",Usado,700,IPhone 6 16gb ,Iphone
2103,Tirol,59020-100,Natal,vendo Moto g3 Dual chip 4G 16 Gigas funcionando100% ta bem conservado so tem essesdetalhe comomostra a ultima foto o resto novo ,Usado,180,Moto G3 Dual chip 4G 16 Gigas 4G ,Motorola e Lenovo
2104,Potengi,59111-556,Natal,Vendo iPhone com capa original e película original(só to vendendo porque quero comprar algo paraminha casa)aceito próstata. 98734-9831... ver número,Usado,3400,"Vendo iPhone novinho,com fone de ouvido não foi nem desembalado,carregador,nota fiscal ",Iphone
2105,Capim Macio,59082-160,Natal,iPhone 6 16g funcionando tudo perfeitamente .iCloud no meu nome .Biometria OK .Desbloqueado para todas operadoras. Aceito cartão ,Novo,800,Iphone 6 16g ,Iphone
2106,Nossa Senhora da Apresentação,59114-710,Natal,"Capa traseira de proteção para iPhone XR Com imã,com repercussão no **de melhor proteção para oiPhone ",Novo,50,Capa protetora traseira para iPhone ,Iphone
2107,Tirol,59020-100,Natal,vendo j5 Dual chip 4G 16 Gigas em bom estadofuncionando perfeitamente ,Usado,250,J5 Duos Dual chip 4G 16 Gigas ,Samsung
2108,Quintas,59035-186,Natal,32 Gigas de memóriaCâmera 13 MpTela : 5.0Cor : Rosa com branco  (NOTA FISCAL DA ASUS)OBS: FUNCIONANDO PERFEITAMENTE ) ,Novo,400,Vendo zenfone Asus Original ,Asus
2109,Quintas,59050-000,Natal,moto G4 play seminovo em perfeito estado de uso ,Usado,350,Vendo moto G4 play 16 GB de memória ,Motorola e Lenovo
2110,Potengi,59108-200,Natal,vendo moto g 5 s plus funcionando perfeitamentesem trincos já com película de vidro e capinha 32grande há de memória pronto para usar preçonegociável ,Usado,550,Vendo moto g 5 s plus ,Motorola e Lenovo
2111,Igapó,59104-258,Natal,pra vender hoje . novinho sem marcas de uso !! não tem defeitos vendendo porque comprei um iphone ,Novo,1000,Xiaomi redmi note7 ,Outras marcas
2112,Planalto,59073-240,Natal,"vendo ou troco por celular do meu interesse, A52016 16 GB tela super amoled, processador octacore. em bom estado de conservação funcionandoperfeitamente, tenho todos os acessórios dele,menos a nota fiscal, Analiso propostas emsmartphones do mesmo nível, aceito cartão em até 4vezes sem juros ",Usado,450,A5 2016 Aceito no cartão até em 4x sem juros ,Samsung
2113,Praia do Meio,59010-110,Natal,não tem um arranhão ,Usado,700,K11 32 GB anti impacto dois meses de uso ,LG
2114,Quintas,59040-580,Natal,"Aparelho muito conservado, gold 64gb, funcionatudo! Acompanha carregador, aceito cartão. ReceboiPhone 6 ou 6s com volta.Whats 99227-7510... ver número",Usado,1500,IPhone 6sPlus ,Iphone
2115,Nordeste,59042-330,Natal,iPhone 5s em ótimo estado Funciona perfeitamente obs: não acompanha o carregador Não aceito troca ,Usado,400,IPhone 5s ,Iphone
2116,Nossa Senhora da Apresentação,59115-575,Natal,Único dono. Troco em Bike BOA ,Usado,450,Zenfone 4 Max / Ac. Troca em Bike ,Asus
2117,Nossa Senhora da Apresentação,59114-204,Natal,64 giga sem marcar de uso Só não funciona a biometria (84)99807-7350... ver número,Usado,950,Vendo iPhone 6 ,Iphone
2118,Alecrim,59040-180,Natal,"Vendo aparelho em perfeito estado, com 128 gigasde memória, aceito troca com volta do interessado, ",Novo,1500,IPhone 6 super conservado ,Iphone
2119,Lagoa Nova,59054-650,Natal,bateria perfeito estado ( bateria original ) ,Usado,100,Bateria motoG4 plus ,Motorola e Lenovo
2120,Tirol,59015-970,Natal,"Em excelente estado de conservação, nenhumdefeito, biometria funcionando normal. Acompanhacarregador e fone de ouvido. iCloud em meu nome 99805-3115... ver número",Usado,1800,IPhone 7 128GB Rose ,Iphone
2121,Felipe Camarão,59072-475,Natal,"Aparelho funcionando perfeitamente, os trincos nãointerferem em nada. Para mais informações chamemno Whatsapp: 84 9888301... ver número30 ",Usado,260,Galaxy J5 (2016) 16GB ,Samsung
2122,Lagoa Nova,59075-810,Natal,Em perfeito estado ,Usado,3400,IPhone 256 G 8 Plus SÓ VENDA ,Iphone
2123,Tirol,59020-110,Natal,IPhone 7 RED 128gb sem detalhes! Desde novo tevepelícula de proteção na frente e atrás! Com todosacessórios! (Fone de ouvido lacrado sem uso) nãofaço nenhum tipo de troca. ,Usado,1800,IPhone 7 ,Iphone
2124,Lagoa Azul,59139-290,Natal,"vendo Nokia Lumia 530. aparelho conversado, Sem trinco.obs: só aparelhoVALOR NEGOCIÁVEL ",Usado,100,Nokia lumia 530 ,Nokia
2126,Nova Descoberta,59056-500,Natal,Semi novo32 gb acompanha acessórios whats 98590910 ,Novo,400,LGK10 / Pra vender logo ,LG
2127,Potengi,59112-040,Natal,"OBS:NÃO ACEITO TROCAS APENAS VENDO.NO CARTÃO: 5X 357,00 10x 190,00WHATSAPP:9 9703-9553... ver númeroFicha técnicaMarca:ASUSModelo:ZS620KL-2A079BRCor:PretoTipo de Chip:Nano ChipQuantidade de Chips:Dual ChipMemória Interna:64GBMemória RAM:4GBProcessador:Qualcomm Snapdragon Sdm845Sistema Operacional:AndroidVersão:OreoTipo de tela:LED IPSTamanho do Display:6.2""Resolução:1080x2246Câmera traseira:12 + 8MP (Dual Traseira)Câmera frontal:8MPFilmadora:4KExpansivo até:MicroSD até 2TBAlimentação/Tipo de bateria:Bivolt - LipolimeroBanda:4G LTE CAT 18 1000 MbpsConectividade:Wi-Fi, 3G, 4GNFC:SimTV:Não possuiRecursos de Chamada:Viva VozConteúdo da Embalagem:Telefone, carregador, cabode dados, fone de ouvido, bumper, manual dousuário e cartão garantia ",Novo,1700,Zenfone 5z 4GB 64GB-Novo-Lacrado-1 Ano de garantia ,Asus
2128,Alecrim,59030-080,Natal,"vendo este aparelho que está trincado na tampatraseira, aparelho muito bom, câmera otima,funcionando em perfeito estado, com biometria efacial ",Usado,400,Celular smartphone moto g6 preto 64gb ,Motorola e Lenovo
2129,Potengi,59112-040,Natal,"OBS:NÃO ACEITO TROCAS APENAS VENDO.NO CARTÃO: 5X 284,00WHATSAPP:9 9703-9553... ver númeroFicha técnicaMarca:ASUSModelo:ZE620KL-1H047BRCor:PrataTipo de Chip:Nano ChipQuantidade de Chips:Dual ChipMemória Interna:128GBMemória RAM:4GBProcessador:Qualcomm Snapdragon Sdm636Sistema Operacional:AndroidVersão:OreoTipo de tela:LED IPSTamanho do Display:6.2""Resolução:1080x2246Câmera traseira:12 + 8MP (Dual Traseira)Câmera frontal:8MPFilmadora:4KExpansivo até:MicroSD até 2TBAlimentação/Tipo de bateria:Bivolt - LipolimeroBanda:4G LTE Cat 6 300 MbpsConectividade:Wi-Fi, 3G, 4GNFC:SimTV:Não possuiRecursos de Chamada:Viva VozConteúdo da Embalagem:Telefone, carregador, cabode dados, fone de ouvido, bumper, manual dousuário e cartão garantia ",Novo,1350,Zenfone 5 128GB Cor: prata -Novo-Lacrado-1 Ano de garantia ,Asus
